,CityID,Name,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed (mph),Date_Time
53,4252975,Barrow,US,39.51,-90.4,32.0,92,1,3.56,1573883154
54,3027487,Chalons-en-Champagne,FR,48.95,4.37,36.0,100,75,13.87,1573883154
55,6050066,La Ronge,CA,55.1,-105.3,24.8,85,90,5.82,1573882968
56,2074865,Carnarvon,AU,-24.87,113.63,82.4,61,0,14.99,1573883107
57,3366880,Hermanus,ZA,-34.42,19.24,66.99,95,100,3.0,1573883154
58,964420,Port Elizabeth,ZA,-33.92,25.57,66.2,93,75,10.29,1573883154
59,3370903,Jamestown,SH,-15.94,-5.72,68.38,79,85,16.2,1573883154
60,6320062,Vila Velha,BR,-3.71,-38.6,80.6,74,20,10.29,1573883154
61,2172797,Cairns,AU,-16.92,145.77,91.0,51,27,13.87,1573883154
62,2075265,Busselton,AU,-33.64,115.35,100.0,19,0,11.48,1573883155
63,3863379,Mar del Plata,AR,-46.43,-67.52,55.04,37,94,26.24,1573883155
64,1636022,Martapura,ID,-3.41,114.85,91.4,55,40,5.82,1573883155
65,371745,Kutum,SD,14.2,24.66,70.05,40,0,9.78,1573883155
66,4011743,Constitucion,MX,23.99,-104.67,50.36,79,0,2.66,1573883155
67,2318921,Wukari,NG,7.87,9.78,77.04,88,98,4.03,1573883155
68,546105,Nikolskoye,RU,59.7,30.79,37.99,93,75,8.95,1573883155
69,3985710,Cabo San Lucas,MX,22.89,-109.91,75.0,78,5,4.54,1573883140
70,1862555,Hirado,JP,33.32,129.49,68.0,59,0,4.7,1573883155
71,1127547,Sangin,AF,32.07,64.85,60.85,23,88,0.4,1573883155
72,4021858,Guerrero Negro,MX,27.97,-114.04,64.18,87,54,8.84,1573883155
73,2126710,Beringovskiy,RU,63.05,179.32,30.0,76,100,22.06,1573883155
74,1005781,Elliot,ZA,-31.33,27.85,63.1,72,41,3.47,1573883155
75,3924679,Vilhena,BR,-12.74,-60.15,69.24,96,99,2.19,1573883155
76,2314705,Kikwit,CD,-5.04,18.82,74.39,90,100,1.12,1573883155
77,3421719,Narsaq,GL,60.91,-46.05,23.0,41,58,18.34,1573883156
78,3672086,Pizarro,CO,4.95,-77.37,77.29,85,100,3.69,1573883156
79,1850144,Nishihara,JP,35.74,139.53,71.01,48,20,3.36,1573883156
80,5983720,Iqaluit,CA,63.75,-68.52,17.6,61,90,2.24,1573883156
81,2123814,Leningradskiy,RU,69.38,178.42,15.94,79,0,8.72,1573883156
82,3424607,Tasiilaq,GL,65.61,-37.64,28.4,63,98,9.17,1573883156
83,6316343,Alta Floresta,BR,-9.87,-56.08,70.0,96,36,2.13,1573883156
84,2132606,Samarai,PG,-10.62,150.67,79.05,82,71,8.08,1573883156
85,3147441,Lindas,NO,60.74,5.16,37.99,74,100,6.93,1573883156
86,3548993,Los Palacios,CU,22.59,-83.25,73.6,92,59,8.39,1573883156
87,3883457,Lebu,CL,-37.62,-73.65,54.95,93,93,0.45,1573883156
88,5880568,Bethel,US,60.79,-161.76,12.2,66,1,28.86,1573883156
89,4267710,Sitka,US,37.17,-99.65,46.81,50,30,11.81,1573883157
